CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
20057,11,95,1-11-2020-095-01,1,1,9,122.645944177051,8,5
20023,29,172,1-29-2020-172-02,2,1,1,16.3130293702296,2,5
20026,26,168,1-26-2020-168-03,3,1,9,628.988376224915,10,5
19977,11,94,1-11-2020-094-04,4,1,99,7500.31042130259,8,5
19980,24,181,1-24-2020-181-02,2,2,9,45.9948647167708,1,5
19980,24,181,1-24-2020-181-02,2,2,2,45.9948647167708,1,5
16034,52,1,1-52-2020-001-09,9,1,8,61.8518928906495,12,5
20152,24,190,1-24-2020-190-03,3,1,10,176.576094957647,1,5
19587,24,165,1-24-2020-165-01,1,1,3,97.4673874654262,1,5
19589,52,169,1-52-2020-169-03,3,1,5,64.3212598280531,12,5
19819,10,176,1-10-2020-176-06,6,1,10,881.697795097435,4,5
19748,48,69,1-48-2020-069-06,6,1,9,137.372308923584,12,5
19749,48,70,1-48-2020-070-09,9,2,3,429.752600138086,12,5
18354,29,103,1-29-2020-103-04,4,1,10,79.6296915343957,2,5
18750,32,122,1-32-2020-122-03,3,1,1,721.123773940296,7,5
18751,66,56,1-66-2020-056-09,9,2,10,347.16248860525,6,5
18639,14,58,1-14-2020-058-03,3,1,1,823.947477872565,8,5
20058,11,96,1-11-2020-096-05,5,1,8,187.061947743811,8,5
20059,52,191,1-52-2020-191-04,4,1,7,212.017832597395,12,5
20061,52,193,1-52-2020-193-09,9,2,3,412.321535291393,12,5
20241,23,72,1-23-2020-072-08,8,1,3,174.815424559032,5,5
20243,73,100,1-73-2020-100-02,2,1,99,34.1677195360008,3,5
18761,19,122,1-19-2020-122-03,3,1,99,70.9531863231261,9,5
18764,26,116,1-26-2020-116-02,2,1,8,39.1336437556081,10,5
20257,26,182,1-26-2020-182-03,3,1,9,453.245463176559,10,5
19744,24,171,1-24-2020-171-10,10,1,10,4018.83756297856,1,5
17689,18,33,1-18-2020-033-03,3,1,3,147.131748035853,6,5
19505,52,166,1-52-2020-166-08,8,1,1,44.8780291607179,12,5
19287,21,120,1-21-2020-120-04,4,1,1,835.454208583882,11,5
16953,13,27,1-13-2020-027-06,6,1,1,974.423254242947,7,5
17501,76,34,1-76-2020-034-07,7,1,9,32.675775236673,3,5
17503,22,43,1-22-2020-043-10,10,1,9,607.803752082658,12,5
16035,52,2,1-52-2020-002-07,7,2,2,64.6514303921208,12,5
